5 0.344186 -0.0594057
5.49602 0.351207 -0.0512331
6.04125 0.356351 -0.0443759
6.64057 0.349741 -0.059808
7.29934 0.351387 -0.0841594
8.02347 0.356024 -0.081843
8.81944 0.352836 -0.1217
9.69436 0.35115 -0.12152
10.6561 0.351767 -0.151353
11.7132 0.367563 -0.150814
12.8752 0.361987 -0.172188
14.1525 0.364837 -0.218194
15.5565 0.378821 -0.241141
17.0998 0.367751 -0.288496
18.7961 0.382377 -0.334013
20.6608 0.388882 -0.339543
22.7104 0.410973 -0.316678
24.9634 0.395634 -0.417246
27.4399 0.428733 -0.454453
30.162 0.436848 -0.454896
33.1543 0.46919 -0.565589
36.4433 0.487489 -0.725241
40.0586 0.52442 -0.695304
44.0326 0.552452 -0.776891
48.4009 0.600239 -0.818178
53.2024 0.66412 -0.86484
58.4804 0.729196 -0.923108
64.2819 0.837509 -1.00386
70.6589 0.997461 -1.09326
77.6686 1.28892 -1.21885
85.3736 1.3809 -1.33737
93.8431 1.55112 -1.3022
103.153 1.48962 -1.40965
113.386 1.40663 -1.48552
124.634 1.12428 -1.70985
136.999 1.07651 -1.8871
150.589 0.975191 -1.9835
165.529 0.833644 -2.1326
181.95 0.687181 -2.25686
200 0.412026 3.06635
