# bode_plot v2 2026-07-30 17:05:58
# element=1 inject=replace output=raw amplitude=0.02 amplitude2=0.012
# n_freqs=8 cycles=400 (10 segments x 40 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.09
# fit K(<=30Hz)=4.0795 +/- 0.0184  tau_meas_ms=0.1439  loop_frames=1.545 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.74  mag_flat_rms=0.015
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config SMALL-AMPLITUDE Kx: x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, +-5 V range, mirror parked at 0 V), no coarse stage, ch0=y parked / ch1=x driven, scale -1.0 V/unit, offset 0. Drive +-20 mV (pass 1) and +-8 mV (pass 2), against the +-100/+-50 mV of fsm_bodex_par.dat. 32x32 exp50 gain100 bw100, ROI 1840/680, tracked 20x20 thr5. PURPOSE: the closed loop commands ~6 mV rms / ~20 mV peak, an order of magnitude below where Kx=3.787 was fit, and the 0.1 vs 0.05 V pair already showed 4% compression (3.787 -> 3.94). If K keeps rising toward the operating point then fsp's plant model under-subtracts its own command, which is what PAR-3's phi reconstruction suggests: x disturbance 28% above the open-phase error and a closed-window bound (0.045 px) above the open-window one (0.034 px), neither of which y shows. Range is 10-30 Hz because K is the <=30 Hz plateau; tau is NOT measurable here and stays 2.717 fr from fsm_bodex_par.dat. Compare the <=30 Hz plateau of all four amplitudes.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
10 4.02747 -0.00595102 0.0242861 0.00683565 0.999793 3.99079 -0.0223011
11 4.05768 0.00101284 0.0253593 0.00870809 0.999662 4.12988 -0.0181699
13.9 4.02957 -0.00644585 0.0166383 0.00558693 0.99986 4.16723 -0.00481803
16.0133 4.07853 -0.00869606 0.00994273 0.00167363 0.999987 4.08016 -0.00758644
19.5 4.12849 -0.0448082 0.118211 0.0316272 0.995537 4.30952 0.00200072
22.3 4.16444 -0.0286627 0.0381871 0.0127398 0.999268 4.16137 -0.0263449
25.6425 4.16633 -0.0232196 0.0185834 0.00880855 0.99965 4.19023 -0.0228568
30.6 4.16896 -0.0213047 0.00548057 0.00276586 0.999965 4.28194 -0.0258607
