# bode_plot v2 2026-07-31 10:32:24
# element=1 inject=replace output=raw amplitude=0.02 amplitude2=0.012
# n_freqs=8 cycles=400 (10 segments x 40 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3787.64
# fit K(<=30Hz)=4.3452 +/- 0.0217  tau_meas_ms=0.2685  loop_frames=2.017 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.37  mag_flat_rms=0.012
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config SMALL-AMPLITUDE Kx: x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, +-5 V range, mirror parked at 0 V), no coarse stage, ch0=y parked / ch1=x driven, scale -1.0 V/unit, offset 0. Drive +-20 mV (pass 1) and +-8 mV (pass 2), against the +-100/+-50 mV of fsm_bodex_par.dat. 32x32 exp50 gain100 bw100, ROI 1840/680, tracked 20x20 thr5. PURPOSE: the closed loop commands ~6 mV rms / ~20 mV peak, an order of magnitude below where Kx=3.787 was fit, and the 0.1 vs 0.05 V pair already showed 4% compression (3.787 -> 3.94). If K keeps rising toward the operating point then fsp's plant model under-subtracts its own command, which is what PAR-3's phi reconstruction suggests: x disturbance 28% above the open-phase error and a closed-window bound (0.045 px) above the open-window one (0.034 px), neither of which y shows. Range is 10-30 Hz because K is the <=30 Hz plateau; tau is NOT measurable here and stays 2.717 fr from fsm_bodex_par.dat. Compare the <=30 Hz plateau of all four amplitudes.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
10 4.35017 -0.0488518 0.0153636 0.00671793 0.999798 4.26543 -0.0394824
11 4.31391 -0.0364799 0.0133122 0.00512737 0.999881 4.19802 -0.0588053
13.9 4.33595 -0.0393052 0.0286221 0.00471654 0.999901 4.29286 -0.0564179
16.0133 4.37041 -0.0395151 0.019944 0.00431919 0.999916 4.25065 -0.0625215
19.5 4.39736 -0.0565127 0.0948473 0.0183362 0.998455 4.25366 -0.027516
22.3 4.39985 -0.0581051 0.0987513 0.0115071 0.999393 4.37178 -0.0487248
25.6425 4.42872 -0.0701996 0.0301241 0.0084842 0.999681 4.2979 -0.0825571
30.6 4.43708 -0.0701472 0.0117099 0.00219737 0.999978 4.28111 -0.0876913
