5 0.32828 -0.149381
5.55346 0.411565 -0.0404998
6.16818 0.416055 -0.0462508
6.85095 0.410548 -0.0463867
7.6093 0.412207 -0.0501058
8.45158 0.435793 -0.027691
9.38711 0.448507 0.0978082
10.4262 0.409371 -0.047537
11.5803 0.418528 -0.0218456
12.8621 0.43558 -0.0316689
14.2859 0.424571 -0.0743174
15.8672 0.41984 -0.0809326
17.6236 0.416739 -0.102899
19.5743 0.419761 -0.203255
21.7411 0.446569 -0.0077017
24.1476 0.389484 -0.203543
26.8206 0.450014 -0.229032
29.7894 0.417758 -0.200781
33.0868 0.429884 -0.223456
36.7493 0.451451 -0.234348
40.8171 0.432822 -0.310511
45.3353 0.44041 -0.323536
50.3535 0.451469 -0.380954
55.9272 0.453187 -0.384057
62.1179 0.453365 -0.502983
68.9939 0.45818 -0.509198
76.6309 0.437093 -0.624806
85.1134 0.468343 -0.682897
94.5347 0.475265 -0.705158
104.999 0.471547 -0.881585
116.622 0.457184 -0.97045
129.531 0.464466 -1.11864
143.869 0.49172 -1.28627
159.794 0.456452 -1.45254
177.482 0.444298 -1.47708
197.127 0.43152 -1.72771
218.948 0.417607 -2.01152
243.183 0.428573 -2.13383
270.102 0.392541 -2.37159
300 0.427009 -2.88463
