5 2.51965 -0.106347
5.49602 2.45295 -0.124336
6.04125 2.44915 -0.127883
6.64057 2.43184 -0.154221
7.29934 2.40432 -0.169823
8.02347 2.41581 -0.194684
8.81944 2.45108 -0.202606
9.69436 2.45697 -0.235126
10.6561 2.48325 -0.258097
11.7132 2.51959 -0.285291
12.8752 2.54178 -0.312643
14.1525 2.60963 -0.341962
15.5565 2.69152 -0.392027
17.0998 2.72803 -0.417232
18.7961 2.94538 -0.466627
20.6608 3.07604 -0.513479
22.7104 3.26594 -0.555082
24.9634 3.28936 -0.600072
27.4399 3.22703 -0.663911
30.162 3.38888 -0.74085
33.1543 3.16815 -0.812555
36.4433 3.30458 -0.863307
40.0586 3.18474 -0.952217
44.0326 3.12659 -1.00345
48.4009 3.11385 -1.08018
53.2024 3.43387 -1.13405
58.4804 3.45146 -1.20529
64.2819 3.73566 -1.27687
70.6589 3.57786 -1.39212
77.6686 4.02259 -1.46163
85.3736 3.86296 -1.58629
93.8431 3.61365 -1.67656
103.153 3.27798 -1.85888
113.386 3.09798 -1.98115
124.634 2.79925 -2.12274
136.999 2.59151 -2.2861
150.589 2.26403 -2.40328
165.529 2.22845 -2.55896
181.95 1.81372 -2.75418
200 1.48324 -2.83684
