# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=9 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
445.016 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
450.016 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
455.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
460.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
465.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
470.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
475.018 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
480.018 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
485.019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
490.019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
495.019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
500.019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
505.020 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
510.020 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
515.021 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
520.021 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
525.021 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
530.021 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
535.022 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
540.022 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
545.023 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
550.023 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
555.023 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
560.023 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
565.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
570.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
575.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
580.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
585.025 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
590.025 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
595.026 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
600.026 96 3.460862 3.9631648 3.460862 2.7985429 3.0968417 2.7985429 0 0 0 0 0 0 0.4998
605.026 19038 3.4452991 3.9438783 0.14277658 2.796686 3.0947706 0.019775549 0 0 0 0 0 0 0.46224
610.027 37980 3.4317471 3.9278854 0.10021667 2.7952872 3.0932513 0.015813835 0 0 0 0 0 0 0.42768
615.027 56920 3.4102475 3.9032989 0.16868431 2.7921413 3.0899347 0.027539543 0 0 0 0 0 0 0.39588
620.027 75862 3.3944174 3.8838191 0.14188395 2.7891014 3.0866997 0.024314503 0 0 0 0 0 0 0.36662
625.027 94804 3.3810748 3.8670795 0.15448884 2.7860243 3.0833921 0.036979402 0 0 0 0 0 0 0.33971
630.027 113742 3.3717704 3.8548629 0.14538008 2.7833282 3.0804545 0.043204595 0 0 0 0 0 0 0.31494
635.028 132683 3.3679668 3.8480846 0.16259447 2.7808576 3.0777247 0.042428984 0 0 0 0 0 0 0.29216
640.028 151624 3.3621364 3.8397481 0.13959375 2.7787223 3.0753403 0.041892838 0 0 0 0 0 0 0.2712
645.028 170564 3.3650501 3.8409931 0.11090272 2.7770418 3.0734483 0.031945828 0 0 0 0 0 0 0.25191
650.028 189505 3.3643619 3.8391922 0.080532947 2.7757285 3.0719511 0.02390301 0 0 0 0 0 0 0.23417
655.028 208436 3.3669894 3.8413985 0.072733331 2.7748099 3.0708968 0.015560885 0 0 0 0 0 0 0.21784
660.028 227378 3.3677929 3.8418715 0.073303821 2.7740281 3.0699945 0.014258376 0 0 0 0 0 0 0.20282
665.029 246321 3.368835 3.8423538 0.061721149 2.7731539 3.0689597 0.012370485 0 0 0 0 0 0 0.189
670.029 265264 3.3720125 3.8449848 0.053706209 2.7723047 3.0679754 0.010889914 0 0 0 0 0 0 0.17629
675.029 284206 3.3719986 3.8445483 0.048363476 2.7715604 3.0671047 0.0090222573 0 0 0 0 0 0 0.16459
680.029 303148 3.3758705 3.8480292 0.065152276 2.7709425 3.066379 0.0077653339 0 0 0 0 0 0 0.15383
685.029 322090 3.3782931 3.8501998 0.043946808 2.7703398 3.0656677 0.0070057815 0 0 0 0 0 0 0.14393
690.030 341032 3.3829826 3.8548958 0.058419515 2.769752 3.0649665 0.0066454831 0 0 0 0 0 0 0.13482
695.030 359974 3.3872276 3.8589795 0.047508657 2.7691206 3.0642129 0.0071798153 0 0 0 0 0 0 0.12644
700.030 378917 3.3889821 3.8605185 0.052350248 2.7684977 3.0634697 0.0066655337 0 0 0 0 0 0 0.11873
705.030 397860 3.392249 3.8637804 0.041044049 2.7679523 3.0628101 0.0056975267 0 0 0 0 0 0 0.11163
710.031 416802 3.3939724 3.8654406 0.045809261 2.7675261 3.0622933 0.0046984924 0 0 0 0 0 0 0.10511
715.031 435745 3.3965694 3.868046 0.054736234 2.7670651 3.0617386 0.0042481573 0 0 0 0 0 0 0.099101
720.031 454688 3.3981349 3.8694437 0.046373667 2.7665867 3.0611563 0.0049599791 0 0 0 0 0 0 0.093575
725.031 473631 3.3993995 3.8706693 0.038615221 2.7661883 3.0606698 0.0039471763 0 0 0 0 0 0 0.088492
730.032 492567 3.401757 3.8729851 0.026848276 2.765745 3.0601244 0.0045583128 0 0 0 0 0 0 0.083815
735.032 511510 3.4044204 3.8757012 0.028728926 2.7654363 3.059738 0.0034028621 0 0 0 0 0 0 0.079512
740.032 530452 3.4067138 3.8780564 0.019099758 2.7651596 3.0593949 0.0029377006 0 0 0 0 0 0 0.075553
745.032 549395 3.4078511 3.8792163 0.020822046 2.7649294 3.0591021 0.0027645603 0 0 0 0 0 0 0.071911
750.032 568337 3.4111136 3.8825631 0.033140654 2.7646879 3.0587986 0.0028077097 0 0 0 0 0 0 0.06856
755.033 587280 3.4147488 3.886472 0.038686977 2.7644713 3.0585191 0.0030485419 0 0 0 0 0 0 0.065476
760.033 606222 3.416698 3.8884651 0.0337915 2.7642339 3.058215 0.0028589775 0 0 0 0 0 0 0.06264
765.033 625164 3.4187858 3.8906644 0.026807561 2.764041 3.0579574 0.0029761681 0 0 0 0 0 0 0.06003
770.033 644106 3.4209665 3.8929235 0.025943574 2.7638482 3.0577076 0.0027914554 0 0 0 0 0 0 0.057629
775.033 663049 3.4235895 3.8957243 0.024107854 2.7636804 3.0574884 0.002095445 0 0 0 0 0 0 0.05542
780.033 681992 3.4258481 3.8981196 0.026482103 2.763596 3.0573622 0.0027900262 0 0 0 0 0 0 0.053387
785.033 700934 3.427528 3.8999286 0.018716293 2.7634785 3.0571993 0.0022944657 0 0 0 0 0 0 0.051517
790.033 719876 3.4296822 3.9022313 0.018313104 2.7633909 3.0570673 0.0026158208 0 0 0 0 0 0 0.049797
795.033 738817 3.4311824 3.9038446 0.018635948 2.7632811 3.0569128 0.0022747437 0 0 0 0 0 0 0.048214
800.033 757758 3.433638 3.9065081 0.019681802 2.7631666 3.0567562 0.0017860562 0 0 0 0 0 0 0.046758
805.033 776700 3.4355412 3.9085571 0.02127632 2.76307 3.0566153 0.0020146466 0 0 0 0 0 0 0.045418
810.033 795641 3.4360489 3.9090897 0.017642299 2.7629778 3.0564835 0.0018241867 0 0 0 0 0 0 0.044185
815.033 814582 3.4376361 3.9107874 0.01742186 2.7629095 3.0563753 0.0019300812 0 0 0 0 0 0 0.043051
820.033 833524 3.4399434 3.9132199 0.021784962 2.7628331 3.0562645 0.0017485832 0 0 0 0 0 0 0.042007
825.033 852466 3.4421355 3.9156064 0.018861856 2.7627616 3.0561587 0.001727092 0 0 0 0 0 0 0.041047
830.034 871406 3.4426707 3.9162043 0.018583093 2.7627397 3.0561103 0.0015351891 0 0 0 0 0 0 0.040164
835.034 890348 3.4448705 3.9186175 0.01776828 2.7626974 3.0560367 0.0016115808 0 0 0 0 0 0 0.039351
840.034 909290 3.4459973 3.9198354 0.013979881 2.7626448 3.0559571 0.0014498532 0 0 0 0 0 0 0.038604
845.034 928231 3.4469931 3.9209307 0.013057902 2.762617 3.0558949 0.0020030145 0 0 0 0 0 0 0.037916
850.034 947172 3.4480394 3.9220694 0.011602009 2.7625551 3.0558053 0.0014605952 0 0 0 0 0 0 0.037283
855.034 966114 3.4492051 3.923347 0.013231226 2.7624993 3.0557211 0.0014246472 0 0 0 0 0 0 0.036701
860.034 985056 3.4501337 3.9243796 0.011722987 2.7624624 3.055659 0.0014431015 0 0 0 0 0 0 0.036165
865.034 1003997 3.4510806 3.9253819 0.015679546 2.7624638 3.0556326 0.0019336537 0 0 0 0 0 0 0.035672
870.034 1022939 3.4531676 3.9276732 0.014488833 2.7624154 3.0555559 0.0013812369 0 0 0 0 0 0 0.035218
875.034 1041881 3.4539895 3.9285913 0.013777029 2.762382 3.0554961 0.0014492735 0 0 0 0 0 0 0.034801
880.034 1060822 3.454654 3.9293331 0.0095756299 2.7623236 3.0554103 0.0012025872 0 0 0 0 0 0 0.034417
885.034 1079763 3.4549141 3.92963 0.0081970227 2.7622832 3.0553393 0.0016889036 0 0 0 0 0 0 0.034064
890.034 1098705 3.4553831 3.930157 0.0064679164 2.7622444 3.0552708 0.0018869765 0 0 0 0 0 0 0.033739
895.034 1117646 3.4557536 3.930556 0.0078000724 2.7621826 3.0551772 0.0016129313 0 0 0 0 0 0 0.03344
900.034 1136588 3.4560998 3.9309424 0.0053814058 2.7621347 3.0551005 0.0013886409 0 0 0 0 0 0 0.033165
905.034 1155529 3.4567024 3.9315936 0.013372416 2.7620951 3.0550377 0.0015558977 0 0 0 0 0 0 0.032912
