# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=5 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans
505.021 0 0 0 0 0 0 0 0 0 0 0 0 0
510.022 0 0 0 0 0 0 0 0 0 0 0 0 0
515.022 0 0 0 0 0 0 0 0 0 0 0 0 0
520.022 0 0 0 0 0 0 0 0 0 0 0 0 0
525.022 0 0 0 0 0 0 0 0 0 0 0 0 0
530.022 0 0 0 0 0 0 0 0 0 0 0 0 0
535.022 0 0 0 0 0 0 0 0 0 0 0 0 0
540.023 0 0 0 0 0 0 0 0 0 0 0 0 0
545.023 0 0 0 0 0 0 0 0 0 0 0 0 0
550.023 0 0 0 0 0 0 0 0 0 0 0 0 0
555.023 0 0 0 0 0 0 0 0 0 0 0 0 0
560.023 0 0 0 0 0 0 0 0 0 0 0 0 0
565.024 0 0 0 0 0 0 0 0 0 0 0 0 0
570.024 0 0 0 0 0 0 0 0 0 0 0 0 0
575.024 0 0 0 0 0 0 0 0 0 0 0 0 0
580.024 0 0 0 0 0 0 0 0 0 0 0 0 0
585.024 0 0 0 0 0 0 0 0 0 0 0 0 0
590.025 0 0 0 0 0 0 0 0 0 0 0 0 0
595.025 0 0 0 0 0 0 0 0 0 0 0 0 0
600.025 95 0.34095298 0.34176461 0.34095298 0.30433019 0.29762526 0.30433019 0 0 0 0 0 0
605.025 19037 0.34090738 0.34120078 0.019368003 0.34071167 0.33170774 0.11031755 0 0 0 0 0 0
610.026 37979 0.34099611 0.34088998 0.012474482 0.3589314 0.34797912 0.058697438 0 0 0 0 0 0
615.026 56922 0.34142128 0.341027 0.0093432271 0.37781385 0.36715317 0.037188051 0 0 0 0 0 0
620.026 75864 0.34210137 0.34148669 0.0072886299 0.38729426 0.37656896 0.023399793 0 0 0 0 0 0
625.026 94806 0.34261062 0.34180263 0.0055343389 0.39561119 0.38435384 0.027173223 0 0 0 0 0 0
630.027 113748 0.34294679 0.34189699 0.0067259694 0.41384958 0.40310609 0.032044078 0 0 0 0 0 0
635.027 132691 0.3435972 0.34232599 0.0072994116 0.42604816 0.41515971 0.030325535 0 0 0 0 0 0
640.027 151633 0.34384831 0.34237581 0.0045152647 0.43190821 0.42049101 0.02087512 0 0 0 0 0 0
645.027 170575 0.34422288 0.34258886 0.0042154036 0.43730025 0.42561802 0.022462855 0 0 0 0 0 0
650.027 189517 0.34513843 0.34340429 0.0053724142 0.44187021 0.43035742 0.021939239 0 0 0 0 0 0
655.028 208459 0.34522509 0.34325037 0.0051651486 0.44428417 0.43215931 0.024095909 0 0 0 0 0 0
660.028 227401 0.34572525 0.34368708 0.0028951467 0.4514474 0.43849074 0.027158741 0 0 0 0 0 0
665.028 246344 0.34663166 0.34457572 0.0072975216 0.46675203 0.45446094 0.036991098 0 0 0 0 0 0
670.028 265286 0.34728671 0.34523705 0.0026085478 0.46892699 0.45587634 0.023720819 0 0 0 0 0 0
675.029 284229 0.34775412 0.3456987 0.0021312903 0.47191698 0.45864134 0.015177273 0 0 0 0 0 0
680.029 303172 0.34810305 0.34603527 0.0017442938 0.47496175 0.46158865 0.012756412 0 0 0 0 0 0
685.029 322115 0.34877041 0.34671575 0.0028147267 0.48196105 0.46912118 0.01674773 0 0 0 0 0 0
690.029 341057 0.34896122 0.3468787 0.0023932899 0.48641112 0.47358584 0.021603445 0 0 0 0 0 0
695.030 360000 0.34936834 0.34727814 0.0017716788 0.49093411 0.47842575 0.014495569 0 0 0 0 0 0
700.030 378943 0.34981598 0.34772342 0.00213421 0.49599719 0.48388597 0.012498702 0 0 0 0 0 0
705.030 397885 0.35012758 0.34801767 0.0017675887 0.50182989 0.48996047 0.013449308 0 0 0 0 0 0
710.030 416827 0.35043788 0.34831278 0.001642685 0.50567927 0.49376155 0.012866463 0 0 0 0 0 0
715.030 435769 0.35083371 0.34870013 0.0018647667 0.51083145 0.49936778 0.0079722392 0 0 0 0 0 0
720.030 454711 0.3510351 0.34888027 0.0014881896 0.51410273 0.50273735 0.0086575386 0 0 0 0 0 0
725.030 473652 0.35108045 0.34888617 0.002166885 0.51709482 0.50590427 0.0072668213 0 0 0 0 0 0
730.030 492594 0.35147869 0.34927885 0.0023411535 0.52088836 0.51002259 0.012304915 0 0 0 0 0 0
735.030 511536 0.35189325 0.34969245 0.0027027343 0.52405202 0.51321317 0.017366012 0 0 0 0 0 0
740.030 530477 0.35212452 0.34990751 0.0016071432 0.52744492 0.51682857 0.0085123469 0 0 0 0 0 0
745.030 549418 0.35254839 0.35033268 0.0015201812 0.53025332 0.51973009 0.0086417362 0 0 0 0 0 0
750.030 568360 0.35282743 0.35060067 0.0012662625 0.53240653 0.5220401 0.0083437914 0 0 0 0 0 0
755.030 587302 0.35305154 0.35077457 0.0017460201 0.53758716 0.52783391 0.019758668 0 0 0 0 0 0
760.030 606243 0.35342561 0.35107145 0.0030956375 0.54076372 0.53128611 0.025891905 0 0 0 0 0 0
765.030 625185 0.35378391 0.35135607 0.0022419572 0.54095621 0.53093849 0.020404954 0 0 0 0 0 0
770.030 644126 0.35397404 0.35135706 0.0074693456 0.54397408 0.53392177 0.039225189 0 0 0 0 0 0
775.030 663067 0.35418455 0.35147366 0.0026352221 0.54234253 0.53170361 0.023348601 0 0 0 0 0 0
780.030 682009 0.35466875 0.35183083 0.0073186636 0.54553465 0.535066 0.051430559 0 0 0 0 0 0
785.030 700951 0.35517543 0.35221788 0.0091547901 0.54894134 0.53805438 0.041249391 0 0 0 0 0 0
790.030 719893 0.35527937 0.35215883 0.0043096057 0.55047699 0.53909616 0.044652563 0 0 0 0 0 0
795.031 738834 0.35536826 0.35209173 0.003851683 0.55556685 0.54395448 0.035807044 0 0 0 0 0 0
800.031 757775 0.35610769 0.35280662 0.0046337519 0.56001109 0.54889908 0.027620783 0 0 0 0 0 0
805.031 776717 0.35660061 0.35323676 0.0035201327 0.56322908 0.5522278 0.02488052 0 0 0 0 0 0
810.031 795659 0.35713075 0.35371069 0.0042702347 0.57054359 0.55985416 0.019380617 0 0 0 0 0 0
815.031 814600 0.35807468 0.35459757 0.0042242659 0.57931852 0.56894479 0.030236506 0 0 0 0 0 0
820.031 833541 0.35823188 0.35467352 0.0026352043 0.58350391 0.57299144 0.020299337 0 0 0 0 0 0
825.031 852483 0.35869003 0.35513042 0.0013399691 0.58652313 0.57556759 0.015907442 0 0 0 0 0 0
830.031 871424 0.35917755 0.35563604 0.0015468478 0.59093472 0.58009901 0.01190417 0 0 0 0 0 0
835.031 890366 0.35968759 0.35617583 0.0011793208 0.59529886 0.58471619 0.011226167 0 0 0 0 0 0
840.031 909308 0.36040443 0.35693345 0.0021082617 0.60000643 0.58970351 0.011021692 0 0 0 0 0 0
845.031 928250 0.360665 0.35717498 0.0018234095 0.60317544 0.59259201 0.014653636 0 0 0 0 0 0
850.031 947191 0.3608507 0.35734224 0.0019742753 0.60645986 0.59585177 0.014962128 0 0 0 0 0 0
855.031 966132 0.36128143 0.35778787 0.0016375761 0.61088693 0.60054636 0.014117238 0 0 0 0 0 0
860.031 985074 0.36204869 0.35860631 0.0024065537 0.61598301 0.60616992 0.016360845 0 0 0 0 0 0
865.031 1004016 0.36269586 0.35928597 0.0026468246 0.61774686 0.6078431 0.014577458 0 0 0 0 0 0
870.031 1022957 0.36290754 0.35948707 0.0029368769 0.62155604 0.61210415 0.014168199 0 0 0 0 0 0
875.031 1041898 0.36371651 0.36035439 0.0027503137 0.62257678 0.61290742 0.015857561 0 0 0 0 0 0
880.031 1060840 0.36416859 0.36080454 0.0015242415 0.62401002 0.61423976 0.022393999 0 0 0 0 0 0
885.031 1079782 0.36457668 0.36122887 0.0010661083 0.62570252 0.61595744 0.018686294 0 0 0 0 0 0
890.031 1098723 0.364923 0.36158569 0.0014782121 0.62826216 0.61874953 0.015925386 0 0 0 0 0 0
