# fsp full-band predictor weights saved 2026-07-31 15:26:31
# broad_order=512 broad_mu=0.03 broad_lp=5 broad_gd=2 fs=3788
# horizon y 2+0.62 / x 2+0.76 frames; K y 3.646 / x 4.05
# frames closed=441936; ||w|| y 0.615015 / x 0.716476; ||w_next|| y 0.618784 / x 0.657298
# freeze_closed=false init=zeros (cold start)
# reload with "wiener_file", but ONLY into a run with the same broad_order, horizon, broad_lp and drift_tau
# index y_w y_w_next x_w x_w_next
0 0.44445755222115929 0.43152388179152246 0.62259476526904411 0.55633181763034778
1 0.27855596702653629 0.27135143436349685 0.25875912903828518 0.23012551228919298
2 0.15833817995347152 0.14966107500857087 0.04494760476063963 0.031356571196867473
3 0.071501068849198851 0.063261608972587716 -0.064689311272799727 -0.070634831842687845
4 0.014290980913384214 0.0080034619964411639 -0.10188885976853547 -0.10045424354182036
5 -0.018195128850194725 -0.022849560429314564 -0.091954555118962333 -0.08623125931075222
6 -0.034496548151255413 -0.038447667534810076 -0.064382116621027149 -0.057354337673693766
7 -0.040156223230346802 -0.044383335475100885 -0.033452771702193185 -0.028418857613525961
8 -0.039941784270190572 -0.044790214489425717 -0.0075712599664965645 -0.006069379006706099
9 -0.037349032696596014 -0.043112007120652836 0.0084478949220348279 0.0054975287215967995
10 -0.034762665101312075 -0.041261128872919051 0.012811222801195345 0.0063505415039068099
11 -0.033128249343882019 -0.039480776223325943 0.0077364357738184293 -2.7865395197770517E-05
12 -0.031947901533642666 -0.037218254696772375 -0.0019895949182103666 -0.0088197872720510214
13 -0.03031252472197489 -0.033867282081162527 -0.011597040207337133 -0.016318290296764616
14 -0.02739372461370744 -0.02871520506906616 -0.017801903743324753 -0.020077718556561756
15 -0.022481665710812677 -0.021133442380666657 -0.019174631604265233 -0.018911711580085283
16 -0.015179588613593869 -0.011328139485160931 -0.015745302278221043 -0.013229766244892218
17 -0.0059071424413352919 -0.00011328304642931538 -0.0088141887462005672 -0.004760775572653175
18 0.0044122687647567323 0.011431769809442587 -0.00030889761346236937 0.0041970874372338979
19 0.014649802961275727 0.022190526817378486 0.0077194346361018715 0.011740042790151175
20 0.023663702332441312 0.031038205501504965 0.013590009457836547 0.016845229228222104
21 0.030506317446091166 0.03700141980722009 0.016673115444432309 0.018678283385651393
22 0.034433769321399105 0.039657772440869404 0.016573937648271194 0.01731578594672083
23 0.035254711794888663 0.039034319986699227 0.013816164355229879 0.013710792350885046
24 0.033178132085216742 0.035294800488362602 0.0095486339570379861 0.009238714835866935
25 0.02850666363861205 0.028909433626157815 0.0051198897486336012 0.0050343971103064596
26 0.021804786854967208 0.020760439561329884 0.0015404106794347158 0.0020821378805999189
27 0.013942288245321659 0.011482358434911926 -0.00041075793178853363 0.00052050650118376572
28 0.0054808086123698425 0.001756221452338239 -0.00086001458510735057 0.00035626851695530801
29 -0.0029943568160264505 -0.0076077976961589511 -0.00012063840730808676 0.0010976110656132614
30 -0.010797331039870654 -0.015931049438363092 0.0011045619882141334 0.0017654301710399729
31 -0.017442510332017661 -0.022966734607447543 0.001841216195449644 0.0017466498787489758
32 -0.022772982901901658 -0.028039967529197619 0.0017161373208586779 0.0013012124027409471
33 -0.026248823304517072 -0.030774126138784441 0.0010217622813506323 0.00038730829109982068
34 -0.027596541206685952 -0.031010317230557003 -0.00013108539773007912 -0.00093280879095908298
35 -0.02674168805922433 -0.029057355146345953 -0.00142635623156978 -0.0021396974126486937
36 -0.023994539108007227 -0.024947877063962776 -0.0023461005219361339 -0.0028701100553790394
37 -0.019509719688366605 -0.019156931030952062 -0.002826606501473716 -0.0033231157461334542
38 -0.013761975104518863 -0.012305055959596007 -0.0030320023355436599 -0.0034476516548137028
39 -0.0073543251280554058 -0.0052301349879109718 -0.0029051097468617603 -0.0032834164322186081
40 -0.0010240494356609437 0.001694652230922436 -0.0026031284301949748 -0.0030274951351262551
41 0.0048918324882922743 0.0077640504489858986 -0.0023338378812845536 -0.0028466532267785874
42 0.009805623153375952 0.012272106393234393 -0.0021193703107754286 -0.0027201694302105674
43 0.013103895129262893 0.014872243147594447 -0.0020232445401750618 -0.0028685384912923041
44 0.014574597070694544 0.015499408249203586 -0.0022393805560310073 -0.0032483191222850492
45 0.014200600805938674 0.01384563773426987 -0.0026596380449245699 -0.0036665330295700895
46 0.011773641286860067 0.010079043993406466 -0.0030881828789818739 -0.0040381918534363789
47 0.0075663353599467326 0.0048094282695542489 -0.0034471210873353898 -0.0043510700341449216
48 0.002218745377426634 -0.0014943673149786726 -0.0036404001625187287 -0.0044908410462241814
49 -0.0038157676587457358 -0.0081819783479979685 -0.0036367703663671837 -0.0046028988791100151
50 -0.0098638776714357751 -0.014078081045212869 -0.0036448035405207348 -0.0048831665015685337
51 -0.014811249716483881 -0.018217513476062902 -0.0038755441278752602 -0.0053777792110739631
52 -0.017862773638026422 -0.020154760072184058 -0.004349715622237754 -0.0060693774878751586
53 -0.018657824360529301 -0.019415135454439906 -0.005025693125674446 -0.0068582223612672086
54 -0.01687669662913361 -0.015899465656657775 -0.0057375298167263332 -0.0075088564689528327
55 -0.012638132706988639 -0.010286043989086547 -0.0062609478275290785 -0.0077759871508354039
56 -0.0067605240328661859 -0.0035944364995335321 -0.0063629927622279713 -0.0076218753597574211
57 -0.00024976117297335573 0.0032044870514923219 -0.0060780588834329274 -0.0071915855533852555
58 0.0058958956061203613 0.0089015283456277319 -0.0055960825065159243 -0.0067843210030764404
59 0.010550134178076785 0.012397554649676385 -0.0051999433808222351 -0.0066936595391910401
60 0.012818250311278513 0.01321589138582991 -0.0051773518043687029 -0.007063458811327087
61 0.012457522160357299 0.011537997201021249 -0.0056379060273670017 -0.0076713495126882253
62 0.0098205485633759328 0.0076672494854901335 -0.0062782917566027562 -0.0085097932689216921
63 0.0053940660000468387 0.002371999388786075 -0.0070586512546340074 -0.0092682494743695498
64 5.4367261100943983E-05 -0.0032153514036893063 -0.0076897778389229329 -0.0095648393342356811
65 -0.0050911518325440584 -0.0080548010570588111 -0.0078226503569510004 -0.0093681059531749017
66 -0.0091538332739017209 -0.011789024100820313 -0.0075140579681990038 -0.0092353837077202711
67 -0.011905864497782127 -0.013952745466754915 -0.0072982718083727839 -0.0090357924827242624
68 -0.013048590234027506 -0.014300469758692013 -0.007071655202181633 -0.0088069267761206726
69 -0.012531367797307326 -0.013242209127807075 -0.0069151677677026877 -0.008805588026710949
70 -0.010900438807816718 -0.01160399446778717 -0.0070236173451042978 -0.0092177360697616225
71 -0.0089654409783005082 -0.0097602306287758525 -0.0074476978596694048 -0.0098245026818542906
72 -0.0071222274993319405 -0.0081396397523779227 -0.0080357562651979849 -0.010571818082787244
73 -0.0057776232473324028 -0.0073408183197879477 -0.0087237266877831249 -0.011539670482930317
74 -0.0053912696865185518 -0.0074689584924612406 -0.0095683616778232585 -0.012540087896515459
75 -0.0058927012257360802 -0.0082138765718210143 -0.01037912072191597 -0.013279461966103051
76 -0.0069137489120038795 -0.0094118362798836456 -0.010893393031567486 -0.01360875681146068
77 -0.0082379243983910153 -0.010930887135505156 -0.011011020222171783 -0.013561949740059944
78 -0.0096904159173139201 -0.012348498699393716 -0.01081658314983123 -0.012843120593849811
79 -0.01086877467015533 -0.013398928975098484 -0.01002151539734974 -0.011441849216137338
80 -0.011602171290880094 -0.014146650653243225 -0.0086486650950451383 -0.0097468438337696035
81 -0.011996534643357138 -0.014659240764521202 -0.0070737937383053614 -0.007883373067695286
82 -0.012153338066219795 -0.01472152265854937 -0.0053705834106482966 -0.0058049941520802754
83 -0.01192456426853809 -0.014473641905754508 -0.0035559447558710681 -0.004084582034774159
84 -0.011511659071628589 -0.014167731801919074 -0.0022119313014248819 -0.0032119309857879057
85 -0.0111329724981673 -0.01364389521931369 -0.0016922309913714453 -0.0028208009685112582
86 -0.010636718797923642 -0.012677547355730102 -0.0016902387869358931 -0.0026893771599613139
87 -0.0098273821798885944 -0.011592359363386861 -0.0019864410737961283 -0.0028505220496644456
88 -0.0089835386508629426 -0.010456557279647956 -0.0024083346804323756 -0.0029737992049703702
89 -0.0081041652201685379 -0.0091229547310640886 -0.0025439339162192523 -0.0024742006734322143
90 -0.007069663669846106 -0.0077763818641337617 -0.0020098861896244683 -0.0015987523360864494
91 -0.0060524874633777898 -0.006696581198406602 -0.0010955153997946956 -0.00069396651527817252
92 -0.0052499744282267303 -0.0058473183902314086 -0.00016655934744959017 -7.9927683216675518E-05
93 -0.0046027097529730849 -0.0052085758242219104 0.00038643552027488407 0.00012872224200812909
94 -0.0041180512332567405 -0.0049158473951317417 0.00036877582587442799 -0.0004873315924990672
95 -0.0039048028627001879 -0.0049472491913239557 -0.00048809617416913363 -0.001787722212995019
96 -0.003931301431565796 -0.0050460917721446806 -0.0018891988779992925 -0.0034560911211126604
97 -0.0039831693435716138 -0.0051703306895523032 -0.0034756625892981012 -0.005059681275296107
98 -0.0040469017377359967 -0.0054529934719098677 -0.0048984636026385099 -0.0064228010461143126
99 -0.0042503118509986818 -0.0057508633482288391 -0.0059169467463681038 -0.0073230203392065964
100 -0.0044941135152421728 -0.0059815277145814491 -0.0064138297087938988 -0.0077812357326171545
101 -0.0047305035150230785 -0.0064258729216716418 -0.006575536492937975 -0.0081081604655506827
102 -0.0052096280606737898 -0.0071354165846624316 -0.0066995259391628642 -0.0086475634860723755
103 -0.005943430328710312 -0.0077407639246364858 -0.0070713902145582179 -0.0096337059372172858
104 -0.0065766582125201629 -0.0082334632027938667 -0.0079866219561725935 -0.011032291280411954
105 -0.0070737836243201097 -0.0086221847335733494 -0.009316229570026334 -0.012733090989092893
106 -0.007385057037029105 -0.0086806245204738754 -0.010817212915114846 -0.014365447876270723
107 -0.0073143228129291839 -0.00809859213031589 -0.012148270520413241 -0.015514383650487821
108 -0.0066387298377983631 -0.0070512666986961865 -0.012935406451703891 -0.015669360207319467
109 -0.0055522087287255559 -0.0055695749018639298 -0.01271632449944916 -0.014901510979565977
110 -0.0040892699331917266 -0.0036222585525084432 -0.011687015797257311 -0.013198252656081893
111 -0.0022677711470160287 -0.0011743782252422671 -0.0098919880394336222 -0.010781033653353258
112 -8.3437175776998406E-05 0.0014834459762707813 -0.007591464432741204 -0.0079910961777187768
113 0.0022221263338744342 0.0043631518826953049 -0.0051370136315541095 -0.0054788367871739718
114 0.0046957199463165981 0.0075885654960581965 -0.0030751813682722315 -0.0032755705861789129
115 0.0074654148419964692 0.01112747727114898 -0.0013787266254945178 -0.0015379530194656571
116 0.010499193654669545 0.014708423162381799 -0.00019612203830385503 -0.00021143610725471698
