1 0.631687 -0.0207173
1.05931 0.631092 -0.0206319
1.12213 0.631056 -0.0204783
1.18868 0.630942 -0.0192636
1.25917 0.631795 -0.0210547
1.33385 0.630929 -0.0207068
1.41296 0.630566 -0.0236938
1.49675 0.629425 -0.0192151
1.58552 0.63066 -0.0230203
1.67955 0.629484 -0.021082
1.77916 0.628414 -0.0222242
1.88467 0.629177 -0.0246544
1.99644 0.630417 -0.0234242
2.11485 0.629967 -0.02465
2.24027 0.629441 -0.0221816
2.37313 0.628978 -0.0242383
2.51387 0.629424 -0.0228223
2.66296 0.628606 -0.0250666
2.82089 0.628014 -0.0269418
2.98818 0.62848 -0.0258575
3.1654 0.627926 -0.0275439
3.35313 0.627441 -0.0282879
3.55199 0.628313 -0.0283583
3.76264 0.628391 -0.0292155
3.98579 0.628863 -0.0303027
4.22217 0.628461 -0.0324044
4.47257 0.629029 -0.0334171
4.73782 0.629345 -0.0342713
5.0188 0.628231 -0.0344468
5.31645 0.628966 -0.0264751
5.63174 0.623931 -0.0384015
5.96574 0.631569 -0.0361146
6.31954 0.627872 -0.0396657
6.69433 0.62775 -0.0438851
7.09134 0.628017 -0.0460334
7.5119 0.628962 -0.0503673
7.9574 0.629263 -0.0515592
8.42932 0.627981 -0.0548286
8.92923 0.628501 -0.0567368
9.45879 0.623012 -0.0689365
10.0198 0.637197 -0.0440054
10.614 0.634883 -0.0574435
11.2435 0.618751 -0.0785452
11.9103 0.629107 -0.0841036
12.6166 0.649629 -0.0743169
13.3649 0.628484 -0.0973987
14.1575 0.632122 -0.0857747
14.9971 0.636488 -0.08156
15.8865 0.634447 -0.099028
16.8287 0.634074 -0.101843
17.8267 0.634959 -0.116748
18.8839 0.639818 -0.1236
20.0039 0.641591 -0.14021
21.1902 0.687061 -0.134443
22.4469 0.67257 -0.164891
23.7782 0.630025 -0.14413
25.1884 0.653463 -0.153747
26.6822 0.666212 -0.192673
28.2646 0.654182 -0.156721
29.9409 0.677698 -0.248425
31.7165 0.656845 -0.21921
33.5975 0.652559 -0.22116
35.59 0.656432 -0.241201
37.7007 0.661306 -0.263528
39.9366 0.668269 -0.279215
42.3051 0.664579 -0.305812
44.814 0.668791 -0.319835
47.4718 0.670475 -0.342251
50.2872 0.673963 -0.367423
53.2695 0.673761 -0.389513
56.4287 0.692078 -0.435949
59.7752 0.687347 -0.486471
63.3203 0.692068 -0.478221
67.0755 0.68991 -0.522351
71.0535 0.689776 -0.558778
75.2674 0.69925 -0.600194
79.7312 0.685014 -0.644587
84.4598 0.695164 -0.67716
89.4687 0.693157 -0.73019
94.7748 0.701054 -0.773363
100.395 0.707532 -0.834301
106.35 0.69581 -0.877807
112.657 0.712766 -0.950575
119.338 0.693052 -1.01996
126.415 0.709772 -1.0876
133.913 0.70123 -1.12706
141.854 0.694429 -1.18863
150.267 0.713181 -1.27324
159.179 0.707519 -1.35383
168.619 0.696268 -1.45505
178.619 0.701937 -1.52504
189.213 0.695808 -1.63061
200.434 0.707097 -1.72316
212.321 0.694379 -1.84858
224.913 0.690899 -2.00098
238.251 0.661859 -2.12706
252.381 0.645758 -2.24506
267.349 0.647452 -2.36435
283.204 0.598791 -2.4899
300 0.654035 -2.6111
